key,value,date
RICHÁRD,525,2006
RIKÁRDÓ,,2006
RÓBERT,434,2006
ROLAND,643,2006
RÓMEÓ,,2006
RUDOLF,,2006
SÁMUEL,73,2006
SÁNDOR,436,2006
SEBESTYÉN,,2006
SIMON,75,2006
SOMA,122,2006
SZABOLCS,601,2006
SZEBASZTIÁN,108,2006
SZILÁRD,144,2006
SZILVESZTER,,2006
TAMÁS,1173,2006
TIBOR,326,2006
VALENTIN,,2006
VENCEL,,2006
VIKTOR,310,2006
VILMOS,83,2006
VINCE,127,2006
ZALÁN,399,2006
ZÉNÓ,,2006
ZENTE,,2006
ZÉTÉNY,159,2006
ZOLTÁN,801,2006
ZSIGMOND,,2006
ZSOLT,632,2006
ZSOMBOR,815,2006
ÁBEL,233,2007
ÁDÁM,1237,2007
ADRIÁN,185,2007
ÁGOSTON,83,2007
ÁKOS,701,2007
ALBERT,,2007
ALEX,325,2007
ALEXANDER,76,2007
ÁLMOS,85,2007
ANDOR,81,2007
ANDRÁS,728,2007
ANTAL,,2007
ARMAND,,2007
ÁRMIN,132,2007
ARNOLD,,2007
ÁRON,616,2007
ÁRPÁD,111,2007
ATTILA,688,2007
BALÁZS,1304,2007
BÁLINT,1102,2007
BARNA,99,2007
BARNABÁS,670,2007
BÉLA,99,2007
BENCE,1705,2007
BENDE,,2007
BENDEGÚZ,254,2007
BENEDEK,446,2007
BENETT,,2007
BENJAMIN,70,2007
BENJÁMIN,287,2007
BERTALAN,94,2007
BOLDIZSÁR,142,2007
BOTOND,780,2007
BRÁJEN,,2007
BRENDON,96,2007
BULCSÚ,,2007
CSABA,521,2007
CSANÁD,278,2007
CSONGOR,215,2007
DÁNIEL,1244,2007
DÁVID,1316,2007
DÉNES,73,2007
DENISZ,,2007
DEZSŐ,,2007
DOMINIK,890,2007
DOMONKOS,108,2007
DONÁT,96,2007
DORIÁN,,2007
ENDRE,,2007
ERIK,367,2007
ERNŐ,,2007
FÉLIX,,2007
FERENC,341,2007
FLÓRIÁN,,2007
GÁBOR,692,2007
GELLÉRT,,2007
GERGELY,393,2007
GERGŐ,1022,2007
GÉZA,,2007
GYÖRGY,159,2007
GYULA,124,2007
HENRIK,,2007
HUBA,,2007
HUNOR,197,2007
IMRE,212,2007
ISTVÁN,614,2007
IVÁN,,2007
JÁNOS,479,2007
JENŐ,,2007
JÓZSEF,470,2007
KÁLMÁN,,2007
KÁROLY,117,2007
KENDE,80,2007
KEVIN,515,2007
KOLOS,,2007
KOPPÁNY,70,2007
KORNÉL,247,2007
KRISTÓF,843,2007
KRISZTIÁN,664,2007
KRISZTOFER,202,2007
LAJOS,127,2007
LÁSZLÓ,823,2007
LEVENTE,1355,2007
LÓRÁNT,,2007
LŐRINC,,2007
MARCELL,818,2007
MÁRIÓ,,2007
MÁRK,954,2007
MÁRKÓ,108,2007
MARTIN,685,2007
MÁRTON,555,2007
MÁTÉ,1552,2007
MÁTYÁS,276,2007
MIHÁLY,214,2007
MIKLÓS,189,2007
MILÁN,969,2007
NÁNDOR,186,2007
NIKOLASZ,77,2007
NIMRÓD,75,2007
NOEL,237,2007
NOLEN,,2007
NORBERT,319,2007
OLIVÉR,423,2007
PÁL,82,2007
PATRIK,649,2007
PÉTER,1132,2007
RAJMUND,,2007
RENÁTÓ,77,2007
RICHÁRD,504,2007
RIKÁRDÓ,84,2007
RÓBERT,373,2007
ROLAND,637,2007
RÓMEÓ,,2007
RUDOLF,,2007
SÁMUEL,,2007
SÁNDOR,402,2007
SEBESTYÉN,,2007
SIMON,82,2007
SOMA,109,2007
SZABOLCS,523,2007
SZEBASZTIÁN,105,2007
SZILÁRD,126,2007
SZILVESZTER,,2007
TAMÁS,1073,2007
TIBOR,294,2007
VALENTIN,,2007
VENCEL,,2007
VIKTOR,310,2007
VILMOS,133,2007
VINCE,117,2007
ZALÁN,501,2007
ZÉNÓ,,2007
ZENTE,,2007
ZÉTÉNY,191,2007
ZOLTÁN,784,2007
ZSIGMOND,,2007
ZSOLT,548,2007
ZSOMBOR,965,2007
ÁBEL,258,2008
ÁDÁM,1193,2008
ADRIÁN,190,2008
ÁGOSTON,86,2008
ÁKOS,668,2008
ALBERT,,2008
ALEX,390,2008
ALEXANDER,76,2008
ÁLMOS,81,2008
ANDOR,,2008
ANDRÁS,714,2008
ANTAL,,2008
ARMAND,,2008
ÁRMIN,132,2008
ARNOLD,,2008
ÁRON,692,2008
ÁRPÁD,76,2008
ATTILA,734,2008
BALÁZS,1276,2008
BÁLINT,937,2008
BARNA,105,2008
BARNABÁS,659,2008
BÉLA,104,2008
BENCE,1659,2008
BENDE,,2008
BENDEGÚZ,236,2008
BENEDEK,506,2008
BENETT,,2008
BENJAMIN,84,2008
BENJÁMIN,280,2008
BERTALAN,107,2008
BOLDIZSÁR,147,2008
BOTOND,955,2008
BRÁJEN,,2008
BRENDON,110,2008
BULCSÚ,,2008
CSABA,445,2008
CSANÁD,195,2008
CSONGOR,203,2008
DÁNIEL,1294,2008
DÁVID,1203,2008
